LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NE: LINCOLN,01/01/2010 00:10:00,,2013.00,1265.00,340.00,219.00,112.00,149.00,89.00,35.00,APPROVED
NE: LINCOLN,01/01/2010 01:10:00,,1993.00,1260.00,335.00,217.00,115.00,147.00,88.00,34.00,APPROVED
NE: LINCOLN,01/01/2010 02:10:00,,1951.00,1226.00,330.00,209.00,110.00,146.00,86.00,34.00,APPROVED
NE: LINCOLN,01/01/2010 03:10:00,,1960.00,1223.00,328.00,207.00,109.00,146.00,87.00,34.00,APPROVED
NE: LINCOLN,01/01/2010 04:11:00,,1968.00,1230.00,337.00,212.00,109.00,145.00,86.00,34.00,APPROVED
NE: LINCOLN,01/01/2010 05:11:00,,1983.00,1241.00,339.00,212.00,109.00,148.00,87.00,33.00,APPROVED
NE: LINCOLN,01/01/2010 06:11:00,,1984.00,1255.00,336.00,216.00,112.00,149.00,86.00,33.00,APPROVED
NE: LINCOLN,01/01/2010 07:11:00,,2022.00,1296.00,346.00,225.00,114.00,151.00,90.00,36.00,APPROVED
NE: LINCOLN,01/01/2010 08:12:00,,2037.00,1319.00,349.00,236.00,117.00,157.00,90.00,36.00,APPROVED
NE: LINCOLN,01/01/2010 09:12:00,,2066.00,1326.00,359.00,236.00,119.00,154.00,91.00,36.00,APPROVED
NE: LINCOLN,01/01/2010 10:12:00,,2088.00,1355.00,362.00,242.00,120.00,160.00,94.00,38.00,APPROVED
NE: LINCOLN,01/01/2010 11:12:00,,2037.00,1335.00,356.00,241.00,118.00,160.00,93.00,38.00,APPROVED
NE: LINCOLN,01/01/2010 12:13:00,,1944.00,1246.00,337.00,221.00,109.00,150.00,87.00,35.00,APPROVED
NE: LINCOLN,01/01/2010 13:13:00,,1875.00,1166.00,318.00,197.00,103.00,138.00,82.00,31.00,APPROVED
NE: LINCOLN,01/01/2010 14:13:00,,1844.00,1118.00,305.00,184.00,101.00,131.00,77.00,29.00,APPROVED
NE: LINCOLN,01/01/2010 15:13:00,,1783.00,1059.00,296.00,172.00,94.00,125.00,77.00,26.00,APPROVED
NE: LINCOLN,01/01/2010 16:13:00,,1786.00,1056.00,292.00,169.00,94.00,122.00,76.00,26.00,APPROVED
NE: LINCOLN,01/01/2010 17:14:00,,1817.00,1085.00,299.00,174.00,95.00,123.00,76.00,26.00,APPROVED
NE: LINCOLN,01/01/2010 18:14:00,,1787.00,1063.00,291.00,167.00,93.00,124.00,78.00,26.00,APPROVED
NE: LINCOLN,01/01/2010 19:14:00,,1774.00,1055.00,290.00,168.00,94.00,123.00,77.00,25.00,APPROVED
NE: LINCOLN,01/01/2010 20:14:00,,1771.00,1061.00,287.00,166.00,93.00,123.00,77.00,27.00,APPROVED
NE: LINCOLN,01/01/2010 21:15:00,,1800.00,1062.00,295.00,169.00,96.00,125.00,76.00,27.00,APPROVED
NE: LINCOLN,01/01/2010 22:15:00,,1799.00,1075.00,299.00,173.00,96.00,124.00,78.00,28.00,APPROVED
NE: LINCOLN,01/01/2010 23:15:00,,1810.00,1077.00,298.00,171.00,95.00,126.00,78.00,27.00,APPROVED
NE: LINCOLN,01/02/2010 00:15:00,,1774.00,1048.00,288.00,166.00,95.00,120.00,75.00,26.00,APPROVED
NE: LINCOLN,01/02/2010 01:16:00,,1745.00,1040.00,287.00,166.00,92.00,123.00,72.00,27.00,APPROVED
NE: LINCOLN,01/02/2010 02:16:00,,1749.00,1026.00,281.00,164.00,92.00,120.00,74.00,25.00,APPROVED
NE: LINCOLN,01/02/2010 03:16:00,,1747.00,1026.00,285.00,161.00,93.00,120.00,72.00,26.00,APPROVED
NE: LINCOLN,01/02/2010 04:16:00,,1748.00,1023.00,286.00,164.00,92.00,117.00,73.00,25.00,APPROVED
NE: LINCOLN,01/02/2010 05:17:00,,1774.00,1009.00,278.00,160.00,92.00,118.00,73.00,26.00,APPROVED
NE: LINCOLN,01/02/2010 06:17:00,,1833.00,1007.00,281.00,158.00,89.00,116.00,71.00,25.00,APPROVED
NE: LINCOLN,01/02/2010 07:17:00,,1801.00,1012.00,277.00,158.00,90.00,116.00,73.00,24.00,APPROVED
NE: LINCOLN,01/02/2010 08:17:00,,1770.00,1021.00,282.00,161.00,92.00,119.00,71.00,26.00,APPROVED
NE: LINCOLN,01/02/2010 09:18:00,,1785.00,1019.00,284.00,162.00,91.00,118.00,74.00,27.00,APPROVED
NE: LINCOLN,01/02/2010 10:18:00,,1805.00,1017.00,280.00,162.00,89.00,118.00,75.00,25.00,APPROVED
NE: LINCOLN,01/02/2010 11:18:00,,1816.00,1021.00,277.00,162.00,89.00,119.00,73.00,26.00,APPROVED
NE: LINCOLN,01/02/2010 12:18:00,,1860.00,1019.00,281.00,163.00,90.00,119.00,75.00,27.00,APPROVED
NE: LINCOLN,01/02/2010 13:19:00,,2042.00,1009.00,283.00,161.00,93.00,119.00,71.00,26.00,APPROVED
NE: LINCOLN,01/02/2010 14:19:00,,2135.00,1009.00,279.00,157.00,91.00,116.00,71.00,25.00,APPROVED
NE: LINCOLN,01/02/2010 15:19:00,,1992.00,1016.00,277.00,164.00,92.00,117.00,72.00,26.00,APPROVED
NE: LINCOLN,01/02/2010 16:19:00,,1942.00,1015.00,281.00,160.00,88.00,117.00,73.00,26.00,APPROVED
NE: LINCOLN,01/02/2010 17:19:00,,1850.00,1017.00,281.00,162.00,93.00,117.00,74.00,26.00,APPROVED
NE: LINCOLN,01/02/2010 18:20:00,,1785.00,1023.00,284.00,158.00,92.00,116.00,73.00,25.00,APPROVED
NE: LINCOLN,01/02/2010 19:20:00,,1793.00,1024.00,279.00,160.00,91.00,117.00,72.00,26.00,APPROVED
NE: LINCOLN,01/02/2010 20:20:00,,1815.00,1044.00,283.00,164.00,91.00,120.00,75.00,27.00,APPROVED
NE: LINCOLN,01/02/2010 21:20:00,,1835.00,1066.00,293.00,169.00,93.00,125.00,75.00,27.00,APPROVED
NE: LINCOLN,01/02/2010 22:21:00,,1914.00,1117.00,305.00,186.00,96.00,129.00,79.00,29.00,APPROVED
NE: LINCOLN,01/02/2010 23:21:00,,1886.00,1102.00,301.00,180.00,97.00,130.00,76.00,28.00,APPROVED
