LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NE: LINCOLN,01/01/2016 00:26:00,,2867.00,1622.00,422.00,244.00,136.00,175.00,93.00,29.00,APPROVED
NE: LINCOLN,01/01/2016 01:26:00,,2831.00,1605.00,415.00,239.00,136.00,177.00,94.00,28.00,APPROVED
NE: LINCOLN,01/01/2016 02:26:00,,2830.00,1600.00,414.00,238.00,135.00,171.00,97.00,29.00,APPROVED
NE: LINCOLN,01/01/2016 03:26:00,,2802.00,1583.00,409.00,231.00,133.00,170.00,94.00,27.00,APPROVED
NE: LINCOLN,01/01/2016 04:27:00,,2681.00,1483.00,391.00,218.00,129.00,159.00,89.00,27.00,APPROVED
NE: LINCOLN,01/01/2016 05:27:00,,2662.00,1449.00,379.00,211.00,125.00,153.00,88.00,25.00,APPROVED
NE: LINCOLN,01/01/2016 06:27:00,,2662.00,1462.00,377.00,207.00,124.00,153.00,89.00,25.00,APPROVED
NE: LINCOLN,01/01/2016 07:27:00,,2658.00,1449.00,379.00,202.00,122.00,154.00,86.00,25.00,APPROVED
NE: LINCOLN,01/01/2016 08:28:00,,2642.00,1441.00,378.00,202.00,123.00,150.00,86.00,27.00,APPROVED
NE: LINCOLN,01/01/2016 09:28:00,,2651.00,1441.00,375.00,203.00,123.00,153.00,86.00,26.00,APPROVED
NE: LINCOLN,01/01/2016 10:28:00,,2651.00,1437.00,374.00,203.00,122.00,150.00,86.00,26.00,APPROVED
NE: LINCOLN,01/01/2016 11:28:00,,2649.00,1447.00,376.00,205.00,121.00,149.00,87.00,26.00,APPROVED
NE: LINCOLN,01/01/2016 12:29:00,,2661.00,1459.00,381.00,203.00,124.00,150.00,87.00,26.00,APPROVED
NE: LINCOLN,01/01/2016 13:29:00,,2687.00,1479.00,384.00,211.00,123.00,153.00,89.00,25.00,APPROVED
NE: LINCOLN,01/01/2016 14:29:00,,2681.00,1473.00,383.00,213.00,126.00,155.00,92.00,26.00,APPROVED
NE: LINCOLN,01/01/2016 15:29:00,,2664.00,1473.00,379.00,210.00,127.00,155.00,91.00,26.00,APPROVED
NE: LINCOLN,01/01/2016 16:30:00,,2694.00,1479.00,385.00,213.00,125.00,156.00,87.00,26.00,APPROVED
NE: LINCOLN,01/01/2016 17:30:00,,2732.00,1528.00,394.00,222.00,129.00,162.00,87.00,27.00,APPROVED
NE: LINCOLN,01/01/2016 18:30:00,,2800.00,1566.00,407.00,229.00,132.00,169.00,90.00,28.00,APPROVED
NE: LINCOLN,01/01/2016 19:30:00,,2779.00,1571.00,409.00,228.00,131.00,169.00,88.00,28.00,APPROVED
NE: LINCOLN,01/01/2016 20:31:00,,2794.00,1565.00,406.00,229.00,132.00,172.00,89.00,28.00,APPROVED
NE: LINCOLN,01/01/2016 21:31:00,,2767.00,1539.00,410.00,224.00,131.00,170.00,85.00,27.00,APPROVED
NE: LINCOLN,01/01/2016 22:31:00,,2739.00,1512.00,405.00,216.00,128.00,166.00,80.00,27.00,APPROVED
NE: LINCOLN,01/01/2016 23:31:00,,2730.00,1499.00,393.00,214.00,131.00,167.00,81.00,27.00,APPROVED
NE: LINCOLN,01/02/2016 00:32:00,,2732.00,1510.00,396.00,212.00,129.00,165.00,88.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 01:32:00,,2765.00,1531.00,403.00,219.00,129.00,165.00,85.00,27.00,APPROVED
NE: LINCOLN,01/02/2016 02:32:00,,2825.00,1595.00,417.00,233.00,134.00,175.00,91.00,29.00,APPROVED
NE: LINCOLN,01/02/2016 03:32:00,,2863.00,1642.00,429.00,244.00,139.00,179.00,93.00,29.00,APPROVED
NE: LINCOLN,01/02/2016 04:32:00,,2851.00,1634.00,421.00,242.00,137.00,180.00,98.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 05:33:00,,2828.00,1594.00,420.00,235.00,133.00,173.00,92.00,29.00,APPROVED
NE: LINCOLN,01/02/2016 06:33:00,,2818.00,1562.00,407.00,230.00,132.00,170.00,89.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 07:33:00,,2809.00,1552.00,409.00,224.00,130.00,164.00,92.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 08:33:00,,2828.00,1562.00,402.00,223.00,132.00,161.00,90.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 09:34:00,,2842.00,1588.00,415.00,227.00,132.00,166.00,93.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 10:34:00,,2851.00,1603.00,409.00,229.00,134.00,167.00,93.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 11:34:00,,2851.00,1598.00,412.00,230.00,132.00,167.00,94.00,29.00,APPROVED
NE: LINCOLN,01/02/2016 12:34:00,,2842.00,1581.00,405.00,228.00,133.00,164.00,93.00,27.00,APPROVED
NE: LINCOLN,01/02/2016 13:35:00,,2831.00,1581.00,411.00,226.00,131.00,165.00,93.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 14:35:00,,2840.00,1578.00,414.00,226.00,132.00,165.00,93.00,27.00,APPROVED
NE: LINCOLN,01/02/2016 15:35:00,,2839.00,1574.00,410.00,227.00,131.00,166.00,94.00,27.00,APPROVED
NE: LINCOLN,01/02/2016 16:35:00,,2848.00,1580.00,409.00,229.00,131.00,168.00,91.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 17:36:00,,2811.00,1552.00,404.00,221.00,131.00,168.00,88.00,27.00,APPROVED
NE: LINCOLN,01/02/2016 18:36:00,,2794.00,1537.00,406.00,220.00,132.00,164.00,86.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 19:36:00,,2793.00,1527.00,407.00,218.00,132.00,169.00,83.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 20:36:00,,2777.00,1522.00,406.00,217.00,128.00,170.00,80.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 21:37:00,,2781.00,1529.00,407.00,217.00,132.00,173.00,79.00,27.00,APPROVED
NE: LINCOLN,01/02/2016 22:37:00,,2784.00,1532.00,408.00,219.00,130.00,169.00,79.00,28.00,APPROVED
NE: LINCOLN,01/02/2016 23:37:00,,2805.00,1547.00,411.00,221.00,131.00,172.00,85.00,27.00,APPROVED
NE: LINCOLN,01/03/2016 00:37:00,,2829.00,1560.00,415.00,222.00,132.00,172.00,85.00,26.00,APPROVED
NE: LINCOLN,01/03/2016 01:38:00,,2829.00,1567.00,411.00,224.00,131.00,169.00,87.00,27.00,APPROVED
NE: LINCOLN,01/03/2016 02:38:00,,2813.00,1567.00,415.00,222.00,129.00,167.00,85.00,28.00,APPROVED
NE: LINCOLN,01/03/2016 03:38:00,,2840.00,1568.00,410.00,223.00,131.00,168.00,86.00,26.00,APPROVED
NE: LINCOLN,01/03/2016 04:38:00,,2823.00,1565.00,406.00,221.00,132.00,169.00,89.00,26.00,APPROVED
NE: LINCOLN,01/03/2016 05:39:00,,2811.00,1553.00,406.00,220.00,128.00,166.00,86.00,26.00,APPROVED
NE: LINCOLN,01/03/2016 06:39:00,,2821.00,1555.00,405.00,221.00,131.00,167.00,88.00,26.00,APPROVED
NE: LINCOLN,01/03/2016 07:39:00,,2820.00,1566.00,405.00,224.00,129.00,165.00,88.00,27.00,APPROVED
NE: LINCOLN,01/03/2016 08:39:00,,2826.00,1555.00,406.00,223.00,131.00,165.00,87.00,28.00,APPROVED
NE: LINCOLN,01/03/2016 09:40:00,,2834.00,1570.00,409.00,223.00,129.00,166.00,89.00,28.00,APPROVED
NE: LINCOLN,01/03/2016 10:40:00,,2838.00,1567.00,406.00,227.00,131.00,167.00,90.00,26.00,APPROVED
NE: LINCOLN,01/03/2016 11:40:00,,2835.00,1585.00,412.00,227.00,132.00,166.00,92.00,27.00,APPROVED
NE: LINCOLN,01/03/2016 12:40:00,,2851.00,1596.00,411.00,229.00,134.00,168.00,90.00,28.00,APPROVED
NE: LINCOLN,01/03/2016 13:40:00,,2844.00,1588.00,411.00,227.00,133.00,171.00,93.00,29.00,APPROVED
NE: LINCOLN,01/03/2016 14:41:00,,2849.00,1595.00,413.00,229.00,134.00,166.00,95.00,28.00,APPROVED
NE: LINCOLN,01/03/2016 15:41:00,,2834.00,1585.00,416.00,230.00,132.00,170.00,91.00,27.00,APPROVED
NE: LINCOLN,01/03/2016 16:41:00,,2813.00,1556.00,409.00,224.00,132.00,167.00,85.00,27.00,APPROVED
NE: LINCOLN,01/03/2016 17:41:00,,2760.00,1520.00,403.00,214.00,130.00,168.00,85.00,26.00,APPROVED
NE: LINCOLN,01/03/2016 18:42:00,,2727.00,1502.00,392.00,212.00,130.00,164.00,81.00,26.00,APPROVED
NE: LINCOLN,01/03/2016 19:42:00,,2697.00,1481.00,397.00,206.00,127.00,165.00,79.00,25.00,APPROVED
NE: LINCOLN,01/03/2016 20:42:00,,2708.00,1480.00,391.00,209.00,128.00,164.00,80.00,26.00,APPROVED
NE: LINCOLN,01/03/2016 21:42:00,,2704.00,1476.00,398.00,211.00,128.00,165.00,82.00,26.00,APPROVED
NE: LINCOLN,01/03/2016 22:43:00,,2757.00,1517.00,399.00,214.00,131.00,167.00,82.00,26.00,APPROVED
NE: LINCOLN,01/03/2016 23:43:00,,2803.00,1559.00,408.00,220.00,132.00,165.00,86.00,26.00,APPROVED
NE: LINCOLN,01/04/2016 00:43:00,,2866.00,1596.00,423.00,234.00,133.00,167.00,93.00,29.00,APPROVED
NE: LINCOLN,01/04/2016 01:43:00,,2891.00,1624.00,419.00,236.00,133.00,170.00,95.00,28.00,APPROVED
NE: LINCOLN,01/04/2016 02:44:00,,2903.00,1671.00,433.00,257.00,141.00,177.00,100.00,29.00,APPROVED
NE: LINCOLN,01/04/2016 03:44:00,,2952.00,1758.00,454.00,279.00,148.00,192.00,107.00,30.00,APPROVED
NE: LINCOLN,01/04/2016 04:44:00,,2946.00,1771.00,455.00,288.00,150.00,196.00,108.00,32.00,APPROVED
NE: LINCOLN,01/04/2016 05:44:00,,2913.00,1748.00,459.00,284.00,148.00,194.00,107.00,31.00,APPROVED
NE: LINCOLN,01/04/2016 06:45:00,,2828.00,1665.00,434.00,267.00,141.00,183.00,105.00,31.00,APPROVED
