LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NE: LINCOLN,01/01/2014 00:21:00,,2506.00,1504.00,410.00,227.00,130.00,167.00,98.00,28.00,APPROVED
NE: LINCOLN,01/01/2014 01:21:00,,2561.00,1556.00,414.00,237.00,133.00,166.00,103.00,30.00,APPROVED
NE: LINCOLN,01/01/2014 02:22:00,,2568.00,1572.00,413.00,238.00,134.00,170.00,106.00,31.00,APPROVED
NE: LINCOLN,01/01/2014 03:22:00,,2524.00,1546.00,411.00,236.00,136.00,164.00,101.00,30.00,APPROVED
NE: LINCOLN,01/01/2014 04:22:00,,2492.00,1512.00,407.00,233.00,131.00,162.00,102.00,29.00,APPROVED
NE: LINCOLN,01/01/2014 05:22:00,,2444.00,1471.00,395.00,224.00,131.00,160.00,101.00,29.00,APPROVED
NE: LINCOLN,01/01/2014 06:23:00,,2455.00,1473.00,397.00,225.00,130.00,161.00,101.00,30.00,APPROVED
NE: LINCOLN,01/01/2014 07:23:00,,2465.00,1477.00,394.00,227.00,131.00,160.00,103.00,30.00,APPROVED
NE: LINCOLN,01/01/2014 08:23:00,,2460.00,1489.00,399.00,225.00,129.00,162.00,100.00,30.00,APPROVED
NE: LINCOLN,01/01/2014 09:23:00,,2462.00,1490.00,396.00,227.00,129.00,159.00,102.00,30.00,APPROVED
NE: LINCOLN,01/01/2014 10:23:00,,2466.00,1488.00,396.00,229.00,128.00,164.00,100.00,30.00,APPROVED
NE: LINCOLN,01/01/2014 11:24:00,,2471.00,1493.00,404.00,232.00,132.00,166.00,102.00,31.00,APPROVED
NE: LINCOLN,01/01/2014 12:24:00,,2448.00,1479.00,400.00,229.00,129.00,161.00,102.00,31.00,APPROVED
NE: LINCOLN,01/01/2014 13:24:00,,2438.00,1472.00,393.00,225.00,131.00,160.00,101.00,31.00,APPROVED
NE: LINCOLN,01/01/2014 14:24:00,,2445.00,1476.00,394.00,224.00,128.00,161.00,101.00,30.00,APPROVED
NE: LINCOLN,01/01/2014 15:25:00,,2504.00,1539.00,410.00,238.00,135.00,165.00,104.00,30.00,APPROVED
NE: LINCOLN,01/01/2014 16:25:00,,2750.00,1769.00,465.00,282.00,150.00,192.00,114.00,34.00,APPROVED
NE: LINCOLN,01/01/2014 17:25:00,,2865.00,1900.00,499.00,306.00,161.00,205.00,124.00,38.00,APPROVED
NE: LINCOLN,01/01/2014 18:25:00,,2877.00,1889.00,495.00,314.00,157.00,207.00,119.00,37.00,APPROVED
NE: LINCOLN,01/01/2014 19:26:00,,2754.00,1781.00,479.00,297.00,150.00,194.00,117.00,36.00,APPROVED
NE: LINCOLN,01/01/2014 20:26:00,,2580.00,1620.00,433.00,259.00,139.00,182.00,110.00,32.00,APPROVED
NE: LINCOLN,01/01/2014 21:26:00,,2388.00,1440.00,389.00,223.00,126.00,159.00,99.00,30.00,APPROVED
NE: LINCOLN,01/01/2014 22:26:00,,2336.00,1382.00,373.00,208.00,120.00,149.00,93.00,28.00,APPROVED
NE: LINCOLN,01/01/2014 23:26:00,,2313.00,1365.00,371.00,208.00,118.00,146.00,92.00,29.00,APPROVED
NE: LINCOLN,01/02/2014 00:27:00,,2307.00,1362.00,367.00,208.00,119.00,147.00,94.00,28.00,APPROVED
NE: LINCOLN,01/02/2014 01:27:00,,2300.00,1365.00,366.00,208.00,120.00,148.00,92.00,26.00,APPROVED
NE: LINCOLN,01/02/2014 02:27:00,,2300.00,1357.00,367.00,200.00,119.00,143.00,90.00,27.00,APPROVED
NE: LINCOLN,01/02/2014 03:27:00,,2297.00,1338.00,359.00,198.00,116.00,145.00,90.00,26.00,APPROVED
NE: LINCOLN,01/02/2014 04:28:00,,2272.00,1324.00,361.00,197.00,117.00,145.00,92.00,27.00,APPROVED
NE: LINCOLN,01/02/2014 05:28:00,,2288.00,1328.00,359.00,199.00,116.00,143.00,91.00,26.00,APPROVED
NE: LINCOLN,01/02/2014 06:28:00,,2299.00,1348.00,364.00,198.00,120.00,144.00,90.00,26.00,APPROVED
NE: LINCOLN,01/02/2014 07:28:00,,2325.00,1360.00,367.00,203.00,121.00,146.00,93.00,27.00,APPROVED
NE: LINCOLN,01/02/2014 08:29:00,,2338.00,1376.00,376.00,205.00,121.00,149.00,96.00,29.00,APPROVED
NE: LINCOLN,01/02/2014 09:29:00,,2358.00,1387.00,376.00,206.00,122.00,148.00,93.00,27.00,APPROVED
NE: LINCOLN,01/02/2014 10:29:00,,2361.00,1403.00,375.00,207.00,121.00,150.00,95.00,28.00,APPROVED
NE: LINCOLN,01/02/2014 11:29:00,,2365.00,1409.00,379.00,209.00,121.00,152.00,94.00,29.00,APPROVED
NE: LINCOLN,01/02/2014 12:29:00,,2383.00,1418.00,384.00,212.00,124.00,152.00,95.00,28.00,APPROVED
NE: LINCOLN,01/02/2014 13:30:00,,2365.00,1399.00,379.00,213.00,123.00,152.00,92.00,28.00,APPROVED
NE: LINCOLN,01/02/2014 14:22:00,,2358.00,1406.00,378.00,214.00,125.00,149.00,97.00,29.00,APPROVED
NE: LINCOLN,01/02/2014 15:29:00,,2327.00,1310.00,356.00,186.00,116.00,136.00,86.00,24.00,APPROVED
NE: LINCOLN,01/02/2014 16:29:00,,2317.00,1338.00,356.00,195.00,116.00,144.00,87.00,26.00,APPROVED
NE: LINCOLN,01/02/2014 17:30:00,,2338.00,1349.00,363.00,201.00,116.00,145.00,91.00,26.00,APPROVED
NE: LINCOLN,01/02/2014 18:30:00,,2318.00,1338.00,358.00,198.00,115.00,144.00,92.00,25.00,APPROVED
NE: LINCOLN,01/02/2014 19:30:00,,2313.00,1337.00,360.00,195.00,118.00,142.00,90.00,25.00,APPROVED
NE: LINCOLN,01/02/2014 20:30:00,,2300.00,1322.00,359.00,195.00,120.00,143.00,89.00,25.00,APPROVED
NE: LINCOLN,01/02/2014 21:31:00,,2321.00,1338.00,358.00,195.00,118.00,144.00,88.00,26.00,APPROVED
NE: LINCOLN,01/02/2014 22:31:00,,2340.00,1343.00,362.00,193.00,118.00,147.00,90.00,26.00,APPROVED
NE: LINCOLN,01/02/2014 23:31:00,,2325.00,1348.00,363.00,197.00,118.00,145.00,88.00,26.00,APPROVED
NE: LINCOLN,01/03/2014 00:31:00,,2352.00,1340.00,365.00,198.00,118.00,144.00,93.00,27.00,APPROVED
NE: LINCOLN,01/03/2014 01:31:00,,2357.00,1357.00,363.00,200.00,118.00,144.00,91.00,25.00,APPROVED
NE: LINCOLN,01/03/2014 02:32:00,,2350.00,1368.00,366.00,195.00,118.00,142.00,92.00,26.00,APPROVED
NE: LINCOLN,01/03/2014 03:32:00,,2335.00,1355.00,365.00,198.00,120.00,146.00,92.00,27.00,APPROVED
NE: LINCOLN,01/03/2014 04:32:00,,2340.00,1347.00,360.00,195.00,116.00,144.00,90.00,26.00,APPROVED
NE: LINCOLN,01/03/2014 05:32:00,,2330.00,1350.00,361.00,199.00,120.00,143.00,90.00,25.00,APPROVED
NE: LINCOLN,01/03/2014 06:33:00,,2323.00,1344.00,361.00,196.00,116.00,144.00,90.00,24.00,APPROVED
NE: LINCOLN,01/03/2014 07:33:00,,2325.00,1338.00,357.00,195.00,119.00,143.00,90.00,26.00,APPROVED
NE: LINCOLN,01/03/2014 08:33:00,,2307.00,1330.00,356.00,193.00,117.00,142.00,88.00,26.00,APPROVED
NE: LINCOLN,01/03/2014 09:33:00,,2304.00,1333.00,356.00,194.00,117.00,146.00,91.00,25.00,APPROVED
NE: LINCOLN,01/03/2014 10:34:00,,2287.00,1323.00,353.00,192.00,116.00,145.00,89.00,25.00,APPROVED
NE: LINCOLN,01/03/2014 11:34:00,,2288.00,1324.00,358.00,195.00,120.00,142.00,89.00,25.00,APPROVED
NE: LINCOLN,01/03/2014 12:34:00,,2303.00,1337.00,361.00,197.00,117.00,146.00,90.00,26.00,APPROVED
NE: LINCOLN,01/03/2014 13:34:00,,2338.00,1361.00,366.00,199.00,120.00,147.00,91.00,27.00,APPROVED
NE: LINCOLN,01/03/2014 14:34:00,,2363.00,1375.00,371.00,205.00,122.00,148.00,94.00,28.00,APPROVED
NE: LINCOLN,01/03/2014 15:35:00,,2371.00,1401.00,377.00,212.00,124.00,149.00,94.00,28.00,APPROVED
NE: LINCOLN,01/03/2014 16:35:00,,2366.00,1407.00,376.00,213.00,123.00,153.00,95.00,29.00,APPROVED
NE: LINCOLN,01/03/2014 17:35:00,,2377.00,1390.00,374.00,213.00,122.00,150.00,94.00,28.00,APPROVED
NE: LINCOLN,01/03/2014 18:35:00,,2348.00,1372.00,375.00,206.00,120.00,151.00,91.00,28.00,APPROVED
NE: LINCOLN,01/03/2014 19:36:00,,2338.00,1358.00,369.00,202.00,122.00,150.00,91.00,25.00,APPROVED
NE: LINCOLN,01/03/2014 20:36:00,,2333.00,1358.00,370.00,205.00,121.00,149.00,91.00,26.00,APPROVED
NE: LINCOLN,01/03/2014 21:36:00,,2324.00,1352.00,368.00,199.00,119.00,150.00,91.00,26.00,APPROVED
NE: LINCOLN,01/03/2014 22:36:00,,2326.00,1346.00,364.00,197.00,122.00,147.00,91.00,25.00,APPROVED
NE: LINCOLN,01/03/2014 23:37:00,,2324.00,1345.00,370.00,196.00,123.00,148.00,89.00,26.00,APPROVED
NE: LINCOLN,01/04/2014 00:37:00,,2329.00,1348.00,372.00,198.00,119.00,148.00,90.00,24.00,APPROVED
NE: LINCOLN,01/04/2014 01:37:00,,2336.00,1338.00,366.00,195.00,118.00,146.00,87.00,27.00,APPROVED
NE: LINCOLN,01/04/2014 02:37:00,,2320.00,1340.00,371.00,197.00,121.00,145.00,88.00,27.00,APPROVED
NE: LINCOLN,01/04/2014 03:37:00,,2322.00,1341.00,368.00,196.00,119.00,145.00,91.00,25.00,APPROVED
NE: LINCOLN,01/04/2014 04:38:00,,2342.00,1350.00,368.00,198.00,119.00,147.00,91.00,26.00,APPROVED
NE: LINCOLN,01/04/2014 05:38:00,,2364.00,1370.00,374.00,202.00,118.00,149.00,90.00,26.00,APPROVED
