LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NE: LINCOLN,05/21/2008 17:41:00,,2967.00,394.00,160.00,186.00,231.00,176.00,15.00,20.00,APPROVED
NE: LINCOLN,05/21/2008 19:09:00,,2826.00,382.00,158.00,185.00,233.00,173.00,14.00,21.00,APPROVED
NE: LINCOLN,05/21/2008 19:42:00,,2770.00,376.00,159.00,181.00,229.00,176.00,14.00,21.00,APPROVED
NE: LINCOLN,05/21/2008 20:57:00,,2737.00,371.00,159.00,185.00,229.00,173.00,15.00,21.00,APPROVED
NE: LINCOLN,05/21/2008 21:57:00,,2727.00,372.00,158.00,183.00,232.00,172.00,15.00,21.00,APPROVED
NE: LINCOLN,05/21/2008 22:57:00,,2697.00,373.00,158.00,182.00,229.00,177.00,16.00,21.00,APPROVED
NE: LINCOLN,05/21/2008 23:57:00,,2685.00,366.00,159.00,180.00,233.00,176.00,16.00,20.00,APPROVED
NE: LINCOLN,05/22/2008 00:57:00,,2717.00,366.00,160.00,181.00,228.00,175.00,15.00,21.00,APPROVED
NE: LINCOLN,05/22/2008 01:58:00,,2772.00,375.00,159.00,184.00,229.00,175.00,16.00,21.00,APPROVED
NE: LINCOLN,05/22/2008 02:58:00,,2804.00,382.00,162.00,188.00,228.00,174.00,16.00,21.00,APPROVED
NE: LINCOLN,05/22/2008 03:58:00,,2880.00,385.00,164.00,186.00,232.00,179.00,16.00,23.00,APPROVED
NE: LINCOLN,05/22/2008 04:58:00,,2922.00,397.00,162.00,193.00,231.00,180.00,15.00,22.00,APPROVED
NE: LINCOLN,05/22/2008 05:58:00,,2965.00,396.00,164.00,190.00,232.00,177.00,15.00,22.00,APPROVED
NE: LINCOLN,05/22/2008 06:59:00,,2997.00,400.00,164.00,197.00,238.00,183.00,15.00,22.00,APPROVED
NE: LINCOLN,05/22/2008 07:59:00,,3019.00,399.00,166.00,197.00,239.00,177.00,15.00,23.00,APPROVED
NE: LINCOLN,05/22/2008 08:59:00,,3027.00,407.00,165.00,194.00,240.00,180.00,16.00,23.00,APPROVED
NE: LINCOLN,05/22/2008 09:59:00,,3061.00,409.00,168.00,198.00,237.00,181.00,16.00,23.00,APPROVED
NE: LINCOLN,05/22/2008 10:59:00,,3230.00,446.00,174.00,209.00,246.00,186.00,16.00,24.00,APPROVED
NE: LINCOLN,05/22/2008 12:00:00,,3776.00,568.00,211.00,291.00,297.00,225.00,21.00,35.00,APPROVED
NE: LINCOLN,05/22/2008 13:00:00,,4446.00,703.00,247.00,364.00,352.00,263.00,27.00,43.00,APPROVED
NE: LINCOLN,05/22/2008 14:00:00,,4358.00,668.00,243.00,359.00,348.00,262.00,26.00,41.00,APPROVED
NE: LINCOLN,05/22/2008 15:00:00,,3991.00,592.00,225.00,311.00,314.00,232.00,23.00,35.00,APPROVED
NE: LINCOLN,05/22/2008 16:00:00,,4025.00,602.00,224.00,316.00,318.00,237.00,24.00,36.00,APPROVED
NE: LINCOLN,05/22/2008 17:01:00,,4021.00,603.00,220.00,309.00,315.00,232.00,23.00,34.00,APPROVED
NE: LINCOLN,05/22/2008 18:01:00,,3544.00,496.00,200.00,255.00,276.00,205.00,20.00,29.00,APPROVED
NE: LINCOLN,05/22/2008 19:01:00,,3256.00,427.00,177.00,211.00,247.00,181.00,16.00,23.00,APPROVED
NE: LINCOLN,05/22/2008 20:01:00,,3126.00,406.00,170.00,199.00,241.00,175.00,15.00,24.00,APPROVED
NE: LINCOLN,05/22/2008 21:01:00,,3121.00,408.00,166.00,197.00,235.00,177.00,16.00,23.00,APPROVED
NE: LINCOLN,05/22/2008 22:02:00,,3069.00,408.00,168.00,195.00,237.00,180.00,15.00,23.00,APPROVED
NE: LINCOLN,05/22/2008 23:02:00,,3015.00,396.00,166.00,193.00,234.00,175.00,15.00,22.00,APPROVED
NE: LINCOLN,05/23/2008 00:02:00,,3004.00,398.00,167.00,197.00,237.00,174.00,15.00,22.00,APPROVED
NE: LINCOLN,05/23/2008 01:02:00,,2995.00,399.00,169.00,193.00,238.00,174.00,14.00,23.00,APPROVED
NE: LINCOLN,05/23/2008 02:02:00,,3033.00,395.00,167.00,188.00,231.00,172.00,14.00,23.00,APPROVED
NE: LINCOLN,05/23/2008 03:03:00,,3070.00,404.00,169.00,193.00,235.00,176.00,15.00,21.00,APPROVED
NE: LINCOLN,05/23/2008 04:03:00,,3096.00,403.00,167.00,194.00,236.00,177.00,16.00,22.00,APPROVED
NE: LINCOLN,05/23/2008 05:03:00,,3092.00,406.00,168.00,193.00,236.00,176.00,15.00,22.00,APPROVED
NE: LINCOLN,05/23/2008 06:03:00,,3120.00,406.00,167.00,194.00,238.00,175.00,14.00,22.00,APPROVED
NE: LINCOLN,05/23/2008 07:03:00,,3129.00,406.00,172.00,199.00,234.00,177.00,14.00,21.00,APPROVED
NE: LINCOLN,05/23/2008 08:04:00,,3761.00,544.00,199.00,270.00,283.00,215.00,19.00,31.00,APPROVED
NE: LINCOLN,05/23/2008 09:04:00,,3976.00,594.00,221.00,307.00,315.00,232.00,22.00,35.00,APPROVED
NE: LINCOLN,05/23/2008 10:04:00,,3873.00,571.00,220.00,300.00,304.00,225.00,23.00,34.00,APPROVED
NE: LINCOLN,05/23/2008 11:04:00,,3330.00,456.00,187.00,231.00,260.00,195.00,17.00,25.00,APPROVED
NE: LINCOLN,05/23/2008 12:04:00,,3134.00,419.00,170.00,202.00,242.00,182.00,16.00,24.00,APPROVED
