LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NE: LINCOLN,01/02/2009 18:14:00,,6845.00,1394.00,376.00,196.00,120.00,142.00,91.00,25.00,APPROVED
NE: LINCOLN,01/02/2009 19:14:00,,6657.00,1451.00,393.00,205.00,126.00,152.00,97.00,26.00,APPROVED
NE: LINCOLN,01/02/2009 20:14:00,,6596.00,1478.00,391.00,217.00,128.00,154.00,94.00,27.00,APPROVED
NE: LINCOLN,01/02/2009 21:14:00,,6350.00,1484.00,402.00,219.00,132.00,161.00,99.00,28.00,APPROVED
NE: LINCOLN,01/02/2009 22:15:00,,6100.00,1465.00,400.00,223.00,131.00,156.00,97.00,27.00,APPROVED
NE: LINCOLN,01/02/2009 23:15:00,,5266.00,1415.00,392.00,201.00,127.00,166.00,74.00,26.00,APPROVED
NE: LINCOLN,01/03/2009 00:15:00,,5555.00,1425.00,391.00,198.00,127.00,167.00,72.00,26.00,APPROVED
NE: LINCOLN,01/03/2009 01:15:00,,5751.00,1427.00,397.00,199.00,125.00,170.00,69.00,27.00,APPROVED
NE: LINCOLN,01/03/2009 02:15:00,,5803.00,1417.00,400.00,198.00,127.00,173.00,66.00,26.00,APPROVED
NE: LINCOLN,01/03/2009 03:16:00,,5890.00,1423.00,398.00,197.00,127.00,171.00,63.00,27.00,APPROVED
NE: LINCOLN,01/03/2009 04:16:00,,6028.00,1425.00,391.00,196.00,124.00,173.00,62.00,26.00,APPROVED
NE: LINCOLN,01/03/2009 05:16:00,,6152.00,1423.00,398.00,195.00,124.00,172.00,60.00,26.00,APPROVED
NE: LINCOLN,01/03/2009 06:16:00,,6139.00,1416.00,390.00,193.00,126.00,172.00,59.00,26.00,APPROVED
NE: LINCOLN,01/03/2009 07:17:00,,6077.00,1429.00,401.00,199.00,123.00,169.00,63.00,26.00,APPROVED
NE: LINCOLN,01/03/2009 08:17:00,,5921.00,1449.00,408.00,203.00,130.00,174.00,64.00,27.00,APPROVED
NE: LINCOLN,01/03/2009 09:17:00,,5779.00,1464.00,408.00,205.00,131.00,179.00,67.00,27.00,APPROVED
NE: LINCOLN,01/03/2009 10:17:00,,5827.00,1490.00,418.00,213.00,130.00,180.00,69.00,27.00,APPROVED
NE: LINCOLN,01/03/2009 11:18:00,,6043.00,1512.00,425.00,214.00,132.00,186.00,69.00,27.00,APPROVED
NE: LINCOLN,01/03/2009 12:18:00,,6147.00,1536.00,436.00,220.00,133.00,192.00,69.00,28.00,APPROVED
NE: LINCOLN,01/03/2009 13:18:00,,6357.00,1570.00,447.00,225.00,137.00,196.00,69.00,28.00,APPROVED
NE: LINCOLN,01/03/2009 14:18:00,,6402.00,1563.00,444.00,226.00,138.00,200.00,64.00,29.00,APPROVED
NE: LINCOLN,01/03/2009 15:18:00,,6421.00,1611.00,455.00,229.00,137.00,199.00,67.00,28.00,APPROVED
NE: LINCOLN,01/03/2009 16:19:00,,6428.00,1626.00,462.00,233.00,143.00,200.00,68.00,28.00,APPROVED
NE: LINCOLN,01/03/2009 17:19:00,,6308.00,1577.00,452.00,225.00,141.00,201.00,67.00,29.00,APPROVED
NE: LINCOLN,01/03/2009 18:19:00,,6101.00,1584.00,456.00,225.00,138.00,199.00,67.00,28.00,APPROVED
NE: LINCOLN,01/03/2009 19:19:00,,6370.00,1575.00,449.00,222.00,138.00,200.00,65.00,28.00,APPROVED
NE: LINCOLN,01/03/2009 20:20:00,,6381.00,1483.00,424.00,199.00,131.00,192.00,47.00,27.00,APPROVED
NE: LINCOLN,01/03/2009 21:20:00,,6366.00,1467.00,425.00,193.00,130.00,190.00,47.00,27.00,APPROVED
NE: LINCOLN,01/03/2009 22:20:00,,6446.00,1516.00,436.00,199.00,132.00,191.00,49.00,26.00,APPROVED
NE: LINCOLN,01/03/2009 23:20:00,,6368.00,1457.00,421.00,192.00,130.00,189.00,47.00,26.00,APPROVED
NE: LINCOLN,01/04/2009 00:20:00,,6461.00,1437.00,415.00,194.00,129.00,185.00,47.00,27.00,APPROVED
NE: LINCOLN,01/04/2009 01:21:00,,6562.00,1413.00,399.00,192.00,122.00,181.00,46.00,26.00,APPROVED
NE: LINCOLN,01/04/2009 02:21:00,,6839.00,1460.00,410.00,193.00,128.00,185.00,48.00,26.00,APPROVED
NE: LINCOLN,01/04/2009 03:21:00,,7061.00,1432.00,407.00,195.00,125.00,180.00,50.00,26.00,APPROVED
NE: LINCOLN,01/04/2009 04:21:00,,7230.00,1415.00,398.00,189.00,125.00,181.00,50.00,27.00,APPROVED
NE: LINCOLN,01/04/2009 05:22:00,,7584.00,1402.00,398.00,186.00,126.00,179.00,51.00,26.00,APPROVED
